#bp.overlap	chr	cpgnum	entrez	gcnum	genesym	name	obsexp	refgene	start	stop	pval	qval	Class	nonzero_frac	avgGrpA	avgGrpB	150410_MCS0001_V1D_CACGAT_L002_R1	150410_MCS0002_V1D_ATACGG_L008_R1	150410_MCS0004_V1D_GATGCT_L008_R1	150410_MCSLNP4014_V1D_GGCCTG_L008_R1	150410_MCSLNP4015_V1D_TGAATG_L002_R1	MCSLNP4021_V1D
463	chr6	42	1992	307	SERPINB1	CpG:42	0.86	NM_030666	2841810	2842273	1.22801E-44	9.55582E-42	3	0.381410256	0	0.000883562	0	0	0	0.000733751	0.000626376	0.00129056
1233	chr6	129	9096	864	TBX18	CpG:129	0.99	NM_001080508	85472702	85474132	3.49686E-40	2.58506E-37	1	0.707762557	0.000301239	0.002080979	8.53718E-07	0.000556771	0.000346093	0.002179569	0.001524991	0.002538376
916	chr1	97	55629	623	PNRC2	CpG:97	0.92	NM_017761	24285785	24286701	5.54682E-40	3.90522E-37	3	0.345360825	0	0.000965236	0	0	0	0.000447022	0.000488444	0.001960243
1068	chr4	89	57533	643	TBC1D14	CpG:89	0.92	NM_001113363	6988305	6989373	7.22235E-39	4.85375E-36	3	0.285947712	0	0.000544315	0	0	0	0.000248415	0.000297671	0.001086858
629	chr10	62	653308	412	ASAH2B	CpG:62	0.94	NM_001079516	52499392	52500021	8.35354E-39	5.36987E-36	1	0.61827957	0.000156592	0.000748563	0.00030524	9.79625E-05	6.65731E-05	0.000480415	0.00062847	0.001136805
508	chr1	45	7268	339	TTC4	CpG:45	0.8	NM_004623	55181345	55181853	1.74024E-36	1.07206E-33	3	0.266666667	0	0.001505242	0	0	0	0.000770156	0.000945377	0.002800193
995;995	chr10	89	8861;8861	598	LDB1;LDB1	CpG:89	0.99	NM_003893;NM_001113407	103879633	103880628	2.38335E-36	1.40951E-33	3	0.376388889	5.39768E-06	0.00046576	8.08233E-07	1.53848E-05	0	0.000548295	0.000372365	0.00047662
255	chr19	22	100130827	178	SGK110	CpG:22	0.71	NM_001199824	56061261	56061516	2.38963E-35	1.35887E-32	1	1	0.042453788	0.07991417	0.039470345	0.037049184	0.050841836	0.078925043	0.092857302	0.067960166
440	chr4	48	132946	292	ARL9	CpG:48	0.99	NM_206919	57371582	57372022	7.96262E-35	4.36027E-32	1	0.864583333	0.002137353	0.006191455	0.001308534	0.000796941	0.004306585	0.00565961	0.004067702	0.008847052
769	chr12	118	387890	1106	TMEM233	CpG:118	0.7	NM_001136534	120031494	120033212	2.19687E-34	1.16003E-31	1	0.518361582	0.000262115	0.001632237	0	0.000358135	0.000428209	0.002357075	0.000999392	0.001540245
729;729	chr7	70	80228;80228	468	ORAI2;ORAI2	CpG:70	0.95	NM_032831;NM_001126340	102073605	102074334	1.2497E-32	6.37134E-30	3	0.464814815	3.21115E-06	0.000676813	2.56283E-07	1.79954E-08	9.35916E-06	0.000378971	0.000350397	0.001301071
1780	chr17	163	10882	1245	C1QL1	CpG:163	0.87	NM_006688	43044369	43046424	3.76638E-32	1.8562E-29	1	0.747596154	0.00167845	0.002175922	0.001662678	0.002058962	0.001313709	0.001879481	0.001393486	0.003254799
777	chr3	86	5922	553	RASA2	CpG:86	0.95	NM_006506	141205983	141206760	8.36524E-32	3.98968E-29	3	0.379432624	0	0.000372477	0	0	0	0.000458785	0.000475359	0.000183288
1342	chr7	112	1124	845	CHN2	CpG:112	0.84	NM_004067	29233704	29235046	3.42058E-31	1.58041E-28	3	0.497601918	0.000338279	0.002276001	0.000376418	0.000442822	0.000195596	0.001326547	0.001660971	0.003840485
849;849;849	chr13	82	5095;5095;5095	593	PCCA;PCCA;PCCA	CpG:82	0.79	NM_001127692;NM_001178004;NM_000282	100740956	100741805	3.87765E-31	1.7373E-28	3	0.302845528	1.94981E-05	0.001795998	0	6.20205E-06	5.22922E-05	0.000371554	0.000462756	0.004553683
701;701	chr15	71	348110;100526783	474	C15orf38;C15orf38-AP3S2	CpG:71	0.89	NM_182616;NM_001199058	90455562	90456263	1.23912E-30	5.38836E-28	1	0.67721519	0.00026355	0.005111656	0	0.000100118	0.000690531	0.005038398	0.004344438	0.005952133
1257;1007;1007	chr11	119	55343;55343;55343	892	SLC35C1;SLC35C1;SLC35C1	CpG:119	0.77	NM_018389;NM_001145266;NM_001145265	45825615	45826872	1.18871E-29	5.02144E-27	3	0.463585434	0.000205431	0.002534578	1.16813E-08	0.000326736	0.000289546	0.001091206	0.000843675	0.005668852
593;593;593	chr1	57	9156;9156;9156	385	EXO1;EXO1;EXO1	CpG:57	0.92	NM_130398;NM_006027;NM_003686	242011151	242011744	2.59868E-27	1.06726E-24	3	0.470760234	5.73093E-05	0.001054732	0	0	0.000171928	0.000758558	0.000780978	0.001624661
997	chr16	114	51090	693	PLLP	CpG:114	0.95	NM_015993	57317967	57318964	4.91932E-26	1.96573E-23	1	0.857142857	0.001416795	0.005373946	0.000849814	0.002429868	0.000970702	0.004587118	0.004617008	0.006917712
1031	chr6	113	29116	763	MYLIP	CpG:113	0.81	NM_013262	16128992	16130023	2.79804E-25	1.08866E-22	3	0.265486726	1.68351E-05	0.000587721	2.69433E-05	1.62413E-05	7.32054E-06	0.000292624	0.000213312	0.001257226
685;478;478	chr10	118	79946;100505761;100505761	668	C10orf95;LOC100505761;LOC100505761	CpG:118	0.94	NM_024886;NR_038937;NR_038938	104210095	104210985	3.80433E-25	1.44223E-22	3	0.378531073	3.0995E-05	0.001353487	8.74946E-07	2.87579E-05	6.33522E-05	0.000488587	0.000354665	0.00321721
320	chr9	27	169834	191	ZNF883	CpG:27	0.96	NM_001101338	115774295	115774615	3.71585E-24	1.37347E-21	1	0.62962963	0.000622206	0.003878773	0.001866617	0	0	0.003364855	0.003118926	0.005152539
2339;1521;1521;2339	chr13	225	79070;54841;54841;100533467	1560	KDELC1;BIVM;BIVM;BIVM-ERCC5	CpG:225	0.86	NM_024089;NM_001159596;NM_017693;NM_001204425	103450877	103453216	5.13399E-24	1.85137E-21	3	0.311851852	1.7762E-05	0.000533084	5.3286E-05	0	0	0.000353992	0.000355215	0.000890043
1187;1187;1187;1187	chr1	112	284654;284654;284654;284654	839	RSPO1;RSPO1;RSPO1;RSPO1	CpG:112	0.76	NM_001038633;NM_001242910;NM_001242908;NM_001242909	38099677	38100864	9.89533E-24	3.48339E-21	1	0.619047619	0.000385838	0.001724298	0	0.000377321	0.000780194	0.002986324	0.001155885	0.001030685
1473	chr3	153	5745	1052	PTH1R	CpG:153	1.06	NM_001184744	46923265	46925182	1.41512E-23	4.86572E-21	1	0.654545455	0.000587486	0.001292982	0.000238085	0.001076523	0.000447849	0.00114505	0.000918648	0.001815249
1453	chr17	155	114804	882	RNF157	CpG:155	1.16	NM_052916	74235758	74237211	2.17912E-23	7.32235E-21	1	0.749605055	0.001075037	0.003594575	0.000993597	0.000801137	0.001430376	0.003280972	0.002341508	0.005161244
270	chr4	20	65008	142	MRPL1	CpG:20	1.1	NM_020236	78783745	78784015	3.17591E-23	1.04346E-20	3	0.425	0	0.002328206	0	0	0	0.001876036	0.002016337	0.003092244
296;296;296	chr20	33	100131208;6616;6616	216	SNAP25-AS1;SNAP25;SNAP25	CpG:33	0.84	NR_040710;NM_130811;NM_003081	10200088	10200384	1.70476E-22	5.47933E-20	1	0.590909091	6.43411E-05	0.001511106	0	0.000193023	0	0.001362529	0.001323749	0.00184704
812;812	chr16	84	1632;1632	523	ECI1;ECI1	CpG:84	1.01	NM_001178029;NM_001919	2301157	2301969	7.00763E-22	2.20442E-19	1	0.504950495	0.000579261	0.004102379	0.000612003	0.000488602	0.000637177	0.00185149	0.001979442	0.008476206
487;487	chr13	42	6315;57626	323	ATXN8OS;KLHL1	CpG:42	0.82	NR_002717;NM_020866	70681732	70682219	1.68291E-21	5.1837E-19	1	0.682539683	0.000294141	0.006739936	4.07199E-05	0.000841702	0	0.005440732	0.007633463	0.007145614
431	chr9	40	401535	291	C9orf170	CpG:40	0.82	NM_001001709	89763336	89763767	2.71983E-21	8.20668E-19	1	0.745833333	0.000642381	0.004423129	4.89192E-06	0.001916338	5.91321E-06	0.004938538	0.003066474	0.005264374
1469;1469	chr5	165	10769;10769	1030	PLK2;PLK2	CpG:165	0.91	NM_001252226;NM_006622	57755334	57756803	1.47114E-19	4.35017E-17	3	0.431313131	0	0.000491786	0	0	0	0.000718456	0.000541622	0.00021528
548;548	chrY	39	401630;401629	352	FAM224A;FAM224B	CpG:39	0.69	NR_002161;NR_002160	19691214	19691762	2.79937E-19	8.11543E-17	1	0.538461538	0.005652501	0.001484812	0.006492382	0.005338825	0.005126296	0	0.004454436	0
1058	chr19	94	7554	693	ZNF8	CpG:94	0.83	NM_021089	58789914	58790972	2.93574E-19	8.34711E-17	1	0.510638298	0.000117243	0.001642977	0.000185639	0	0.00016609	0.000573925	0.001563332	0.002791673
288	chr11	21	390259	196	BSX	CpG:21	0.66	NM_001098169	122852411	122852699	8.84417E-19	2.46719E-16	1	0.531746032	0.000194665	0.001941347	0	0.000583994	0	0.001876264	0.00153683	0.002410945
235;235;235;235	chr3	23	84107;84107;84107;84107	146	ZIC4;ZIC4;ZIC4;ZIC4	CpG:23	1.01	NM_001168379;NM_001168378;NM_032153;NM_001243256	147130342	147130577	3.39977E-18	9.30846E-16	1	1	0.068424054	0.023155149	0.070937455	0.065651407	0.068683301	0.031278919	0.015571536	0.022614991
473	chr3	41	1894	293	ECT2	CpG:41	0.91	NM_018098	172468372	172468845	2.27142E-17	6.106E-15	3	0.467479675	0	0.001163181	0	0	0	0.001052903	0.001087719	0.00134892
1448	chr17	212	8447	1231	DOC2B	CpG:212	1.05	NM_003585	29994	31868	2.73647E-17	7.22477E-15	1	0.783660131	0.001630077	0.004006568	0.000953592	0.002058418	0.001878221	0.004218994	0.003389175	0.004411537
1004	chr12	112	387856	822	C12orf68	CpG:112	0.8	NM_001013635	48577361	48578574	3.27755E-17	8.5015E-15	1	0.630116959	0.000698728	0.002345454	0.000308644	0.001344305	0.000443234	0.001811774	0.001814902	0.003409688
1915;1915;1915;1915;1915;1915	chr2	188	23178;5510;23178;23178;23178;23178	1291	PASK;PPP1R7;PASK;PASK;PASK;PASK	CpG:188	0.87	NM_001252120;NM_002712;NM_015148;NM_001252119;NM_001252122;NM_001252124	242088415	242090330	5.67591E-17	1.44687E-14	3	0.395622896	7.83131E-05	0.000642448	0.000216633	1.83061E-05	0	0.000278563	0.000278791	0.00136999
479	chr3	45	51122	299	COMMD2	CpG:45	1	NM_016094	149469909	149470388	1.18853E-16	2.97837E-14	3	0.311111111	0	0.000650579	0	0	0	0.000551598	0.000341986	0.001058153
1119	chr1	116	8412	778	BCAR3	CpG:116	0.91	NM_003567	94146321	94147504	4.50421E-16	1.10991E-13	1	0.501312336	0.000101354	0.00285836	0.000223548	5.36105E-07	7.99779E-05	0.001480578	0.002216842	0.00487766
1736	chr20	159	5786	1094	PTPRA	CpG:159	0.92	NM_080840	2852899	2854635	5.91093E-16	1.43267E-13	3	0.324858757	0.000170724	0.000725461	1.77725E-06	0.000398896	0.000111499	0.00040938	0.000337708	0.001429296
590;590	chr20	48	57144;57144	408	PAK7;PAK7	CpG:48	0.68	NM_177990;NM_020341	9819271	9819861	8.85655E-16	2.112E-13	1	0.631944444	0.000293472	0.002837868	0	0.000880416	0	0.003534888	0.002501693	0.002477021
840	chr17	82	5709	537	PSMD3	CpG:82	0.96	NM_002809	38136650	38137490	2.83194E-15	6.64607E-13	3	0.383333333	0	0.000931174	0	0	0	0.0004817	0.000496431	0.00181539
987	chr11	118	114908	768	TMEM123	CpG:118	0.99	NM_052932	102322529	102323762	1.65004E-14	3.81186E-12	3	0.397333333	0	0.000824405	0	0	0	0.000346889	0.000540757	0.001585567
267;267;267;267	chr3	25	84107;84107;84107;84107	163	ZIC4;ZIC4;ZIC4;ZIC4	CpG:25	1.16	NM_001168379;NM_001168378;NM_032153;NM_001243256	147131066	147131333	3.05678E-14	6.95301E-12	1	1	0.093786437	0.011328279	0.116742465	0.08021378	0.084403067	0.00999906	0.011058292	0.012927487
214;214;214;214	chr5	19	56113;56113;56112;56112	128	PCDHGA2;PCDHGA2;PCDHGA3;PCDHGA3	CpG:19	0.99	NM_018915;NM_032009;NM_032011;NM_018916	140719129	140719343	3.85773E-14	8.6419E-12	1	1	0.179256711	0.105168901	0.146470622	0.173018404	0.218281105	0.11616254	0.113804287	0.085539877
352	chr2	34	347730	227	LRRTM1	CpG:34	0.93	NM_178839	80531367	80531719	9.30112E-14	2.05249E-11	1	0.808823529	0.001812094	0.000536385	0.001473573	0.002046542	0.001916166	0.000978529	0.000343513	0.000287113
471;471;471;471;471;471	chr3	44	4291;4291;4291;4291;4291;4291	283	MLF1;MLF1;MLF1;MLF1;MLF1;MLF1	CpG:44	1.04	NM_001130157;NM_001130156;NM_001195433;NM_001195432;NM_022443;NM_001195434	158288800	158289271	3.19501E-13	6.9468E-11	1	0.814393939	0.000670424	0.002528761	0.00118857	0.000322108	0.000500596	0.002415743	0.002198148	0.002972393
483;483;483;483	chr5	41	83989;83989;83989;83989	313	FAM172A;FAM172A;FAM172A;FAM172A	CpG:41	0.81	NR_028080;NM_001163417;NM_032042;NM_001163418	93446953	93447436	1.18124E-12	2.5311E-10	3	0.471544715	1.29955E-05	0.001608574	0	3.89866E-05	0	0.001053797	0.001072731	0.002699195
894;894;894	chr1	72	10765;100506696;100506696	591	KDM5B;KDM5B-AS1;KDM5B-AS1	CpG:72	0.75	NM_006618;NR_046325;NR_046326	202779790	202780684	1.50333E-12	3.17526E-10	3	0.309210526	4.50891E-05	0.001365603	0.000124479	1.07889E-05	0	0.000393063	0.000484893	0.003218852
963	chr19	82	126433	643	FBXO27	CpG:82	0.78	NM_178820	39522264	39523227	2.23794E-12	4.66027E-10	1	0.693548387	0.000406176	0.002435055	0	0.000454408	0.00076412	0.002144642	0.001512934	0.00364759
975;975	chr3	94	6854;6854	575	SYN2;SYN2	CpG:94	1.11	NM_133625;NM_003178	12045652	12046627	3.07433E-12	6.31305E-10	3	0.444871795	0.00012963	0.001227432	0	0	0.00038889	0.001289925	0.00100324	0.00138913
926	chr2	103	79745	571	CLIP4	CpG:103	1.18	NM_024692	29337983	29338909	4.13599E-12	8.3768E-10	3	0.391025641	1.38551E-05	0.000795499	9.67792E-06	0	3.18874E-05	0.000517486	0.000319688	0.001549324
209;209;209	chr12	20	57102;10635;10635	129	C12orf4;RAD51AP1;RAD51AP1	CpG:20	1.06	NM_020374;NM_006479;NM_001130862	4647844	4648053	5.2405E-12	1.04704E-09	3	0.475	0	0.001747357	0	0	0	0.002067925	0.001879066	0.00129508
1034;1034;1034	chr16	91	3801;3801;3801	638	KIFC3;KIFC3;KIFC3	CpG:91	0.97	NM_001130099;NM_001130100;NM_005550	57835955	57836989	6.18758E-12	1.21978E-09	1	0.888392857	0.004415813	0.008753018	0.005175924	0.003173449	0.004898065	0.006138481	0.008749619	0.011370955
1011;1011;1011	chr4	97	9364;9364;9364	690	RAB28;RAB28;RAB28	CpG:97	0.83	NM_004249;NM_001017979;NM_001159601	13485522	13486533	8.82738E-12	1.71727E-09	3	0.441580756	0.000241729	0.000689657	0.000725188	0	0	0.000449106	0.00042561	0.001194256
611	chr9	145	687	1068	KLF9	CpG:145	0.95	NM_001206	73027330	73029184	1.30107E-11	2.49822E-09	3	0.316479401	0	0.000293151	0	0	0	0.000243602	0.000251032	0.000384818
428	chr1	49	9672	277	SDC3	CpG:49	1.09	NM_014654	31381538	31381966	1.3585E-11	2.57505E-09	3	0.393229167	7.26275E-07	0.000919835	0	0	2.17882E-06	0.00055718	0.000943988	0.001258338
1523;1523;1523;1523	chr11	149	406992;256329;100506211;57661	1002	MIR210;C11orf35;MIR210HG;PHRF1	CpG:149	0.9	NR_029623;NM_173573;NR_038262;NM_020901	567938	569461	1.44179E-11	2.69834E-09	1	0.742085661	0.002241683	0.008471758	0.002258735	0.001722963	0.002743351	0.006664539	0.00526582	0.013484916
473;473	chr4	48	100631383;100129583	303	FAM47E-STBD1;FAM47E	CpG:48	0.99	NM_001242939;NM_001136570	77172587	77173060	1.90071E-11	3.51274E-09	1	0.75308642	0.000279903	0.00322577	0.000477237	8.77361E-06	0.000353698	0.003687258	0.00236906	0.003620992
1253;1253;1253;1253;1253	chr13	118	440138;440138;540;540;540	850	ALG11;ALG11;ATP7B;ATP7B;ATP7B	CpG:118	0.82	NR_036571;NM_001004127;NM_001005918;NM_000053;NM_001243182	52585314	52586567	1.94129E-11	3.54346E-09	3	0.354519774	0.000138008	0.000532088	0.000414023	0	0	0.000734934	0.000388139	0.000473191
855	chr3	75	64145	513	ZFYVE20	CpG:75	1.02	NM_022340	15140035	15140890	2.8126E-11	5.07126E-09	1	0.502222222	3.69334E-05	0.002247879	0.000110683	0	1.1735E-07	0.001700323	0.001190399	0.003852915
504;504;504;504;504;504;504;504;504	chr11	53	23647;23647;23647;23647;26515;10612;10612;10612;10612	310	ARFIP2;ARFIP2;ARFIP2;ARFIP2;FXC1;TRIM3;TRIM3;TRIM3;TRIM3	CpG:53	1.12	NM_001242854;NM_001242856;NM_012402;NM_001242855;NM_012192;NM_006458;NM_001248007;NM_033278;NM_001248006	6502423	6502927	3.3532E-11	5.97314E-09	3	0.395061728	3.47375E-05	0.001002987	0	0.000104212	0	0.000618883	0.000842886	0.001547193
1022;1577	chr5	136	4015;4015	1012	LOX;LOX	CpG:136	0.84	NM_002317;NM_001178102	121412500	121414077	3.97124E-11	6.98986E-09	1	0.56372549	0.000235936	0.000980474	0.000384681	0.000323128	0	0.001819546	0.000680782	0.000441093
561	chr1	54	728116	393	ZBTB8B	CpG:54	0.79	NM_001145720	32930500	32931061	4.12312E-11	7.17179E-09	1	0.651234568	0.000260864	0.00211811	0	0.000782592	0	0.00248052	0.001377733	0.002496076
2222;1624;2595;2177;1714	chr19	185	10908;10908;10908;10908;10908	1650	PNPLA6;PNPLA6;PNPLA6;PNPLA6;PNPLA6	CpG:185	0.71	NM_001166113;NM_006702;NM_001166114;NM_001166111;NM_001166112	7598413	7601008	4.58524E-11	7.85678E-09	1	0.53963964	0.002096453	0.005073998	0.001203142	0.002057339	0.00302888	0.00510237	0.005394637	0.004724987
1935	chr1	199	126917	1285	IFFO2	CpG:199	0.94	NM_001136265	19281948	19283883	4.6232E-11	7.85678E-09	3	0.383838384	0.000181781	0.001536996	0.00040154	0.000109649	3.41543E-05	0.000633378	0.000637399	0.00334021
1383	chr17	145	64359	915	NXN	CpG:145	1.15	NM_022463	881733	883381	5.68566E-11	9.55256E-09	3	0.31986532	2.28681E-07	0.000495503	0	3.42547E-07	3.43495E-07	0.000146023	0.000231314	0.001109174
681;681	chr10	59	119385;10974	478	AGAP11;C10orf116	CpG:59	0.7	NM_133447;NM_006829	88728039	88728720	1.11415E-10	1.85087E-08	1	1	0.005167265	0.023290061	0.004986731	0.007684327	0.002830736	0.027825303	0.021943455	0.020101425
317;317	chr12	22	8079;8079	209	MLF2;MLF2	CpG:22	0.67	NM_005439;NR_026581	6862672	6862989	1.17376E-10	1.92822E-08	1	0.553030303	9.13963E-07	0.001979687	0	0	2.74189E-06	0.002378879	0.001850278	0.001709903
580;580	chr6	66	7941;7941	428	PLA2G7;PLA2G7	CpG:66	0.84	NM_005084;NM_001168357	46702736	46703316	1.53022E-10	2.48619E-08	1	0.671717172	0.000511048	0.001876954	0	0.001226999	0.000306144	0.002283004	0.002121626	0.001226231
543	chr17	39	81558	327	FAM117A	CpG:39	0.87	NM_030802	47840834	47841377	1.58291E-10	2.54384E-08	3	0.433333333	3.62766E-10	0.00125731	0	1.0883E-09	0	0.000937568	0.001968142	0.00086622
219	chr7	17	222171	129	PRR15	CpG:17	0.9	NM_175887	29603109	29603328	2.14775E-10	3.41446E-08	3	0.441176471	0	0.002624142	0	0	0	0.003371016	0.002627994	0.001873415
317	chr7	32	1804	175	DPP6	CpG:32	1.33	NM_001936	154001964	154002281	4.21157E-10	6.62427E-08	1	1	0.00488166	0.011365757	0.001161732	0.009678232	0.003805017	0.014931255	0.006719264	0.012446752
721	chr2	69	25797	525	QPCT	CpG:69	0.74	NM_012413	37571676	37572397	5.23842E-10	8.10921E-08	1	0.8647343	0.004579698	0.002693565	0.005208977	0.005015833	0.003514283	0.001510163	0.002234845	0.004335687
928	chr16	85	29105	600	C16orf80	CpG:85	0.88	NM_013242	58162754	58163682	5.26537E-10	8.10921E-08	1	0.570588235	0.000362328	0.00305365	8.9947E-05	0.000675701	0.000321336	0.002363818	0.0016091	0.005188032
652;652	chr12	57	10330;10330	427	CNPY2;CNPY2	CpG:57	0.83	NM_001190991;NM_014255	56709458	56710110	7.49143E-10	1.14186E-07	1	0.634502924	7.50992E-05	0.00118591	7.5532E-05	7.02788E-05	7.94867E-05	0.000760794	0.000710094	0.002086841
327	chr4	36	80333	240	KCNIP4	CpG:36	0.82	NM_147182	21950538	21950865	9.73499E-10	1.46869E-07	1	0.777777778	0.001529961	0.00464607	0.001329223	0	0.003260661	0.005868791	0.004236714	0.003832703
335	chr14	33	57594	252	HOMEZ	CpG:33	0.71	NM_020834	23755121	23755456	1.03489E-09	1.54555E-07	3	0.348484848	0	0.000550789	0	0	0	0.000482142	0.000294934	0.000875291
880;880	chr17	117	9267;9267	636	CYTH1;CYTH1	CpG:117	1.05	NM_017456;NM_004762	76777510	76778390	1.26716E-09	1.87349E-07	3	0.276041667	0	0.000297604	0	0	0	0.000116147	6.79316E-05	0.000708735
900	chr19	70	11018	556	TMED1	CpG:70	0.82	NM_006858	10946516	10947416	1.60706E-09	2.35251E-07	1	0.773809524	0.002693851	0.008742707	0.001546665	0.001704599	0.004830288	0.006679884	0.005669997	0.013878241
814;814	chr16	73	50855;50855	533	PARD6A;PARD6A	CpG:73	0.84	NM_016948;NM_001037281	67686860	67687674	1.80879E-09	2.62186E-07	1	1	0.025047144	0.048740576	0.023929036	0.016976317	0.034236079	0.052653222	0.046767358	0.046801147
682;682	chr1	83	64856;64856	447	VWA1;VWA1	CpG:83	1.14	NM_199121;NM_022834	1370767	1371449	3.79066E-09	5.44126E-07	1	0.883012821	0.000821774	0.005171237	0.000808491	0.001075345	0.000581486	0.003022182	0.002616825	0.009874703
861	chr16	73	146513	581	LOC146513	CpG:73	0.77	NR_038438	86320175	86321055	4.25086E-09	6.04317E-07	1	0.567982456	0.000118759	0.001816641	0.000285745	0	7.05307E-05	0.001111183	0.002108189	0.00223055
