s__Enterococcus_B hirae	GCA_000271405.2
s__Bifidobacterium pseudocatenulatum	GCF_001025215.1
s__Staphylococcus aureus	GCF_001027105.1
s__Pandoraea faecigallinarum	GCF_001029105.3
s__Bifidobacterium scardovii	GCF_001042635.1
s__Pseudomonas_E trivialis_B	GCF_001186335.1
s__Arsenicicoccus sp001189535	GCF_001189535.1
s__Luteipulveratus mongoliensis	GCF_001190945.1
s__Cronobacter condimenti	GCF_001277255.1
s__Campylobacter_A concisus	GCF_001298465.1
s__Pedobacter sp001412655	GCF_001412655.1
s__Sphingobium baderi_A	GCF_001456115.1
s__Aeromicrobium erythreum	GCF_001509405.1
s__Aerococcus christensenii	GCF_001543105.1
s__Erysipelothrix larvae	GCF_001545095.1
s__Geminocystis sp001548115	GCF_001548115.1
s__Moraxella_A osloensis	GCF_001553955.1
s__Steroidobacter denitrificans	GCF_001579945.1
s__Rhodovulum sulfidophilum	GCF_001633165.1
s__Flavisolibacter_B tropicus	GCF_001644645.1
s__Helicobacter pylori_CM	GCF_001653475.1
s__Niabella ginsenosidivorans	GCF_001654455.1
s__Pseudomonas_E sp001655615	GCF_001655615.1
s__Sphingobium sp001658005	GCF_001658005.1
s__Borrelia hermsii	GCF_001660005.1
s__Halothiobacillus sp001663815	GCF_001663815.1
s__Pseudophaeobacter_A gallaeciensis_A	GCF_001678945.1
s__Azoarcus olearius	GCF_001682385.1
s__Acinetobacter sp001696615	GCF_001696615.3
s__Sulfurospirillum halorespirans	GCF_001723605.1
s__Hydrogenophaga crassostreae	GCF_001761385.1
s__Kozakia baliensis	GCF_001787335.1
s__Microbacterium sp001792815	GCF_001792815.1
s__Vagococcus teuberi	GCF_001870205.1
s__Gramella salexigens	GCF_001889005.1
s__Xanthomonas vesicatoria	GCF_001908725.1
s__Gramella flava	GCF_001951155.1
s__Dehalogenimonas formicexedens	GCF_001953175.1
s__Indiicoccus sp001999905	GCF_001999905.1
s__Helicobacter_A bilis_A	GCF_001999985.1
s__Bartonella sp002022505	GCF_002022505.1
s__Thiomonas intermedia	GCF_002028405.1
s__Streptomyces sp002080455	GCF_002080455.1
s__Paracoccus contaminans	GCF_002105555.1
s__Fibrella sp002108455	GCF_002108455.1
s__Streptomyces sp002128305	GCF_002128305.1
s__Campylobacter sp002139855	GCF_002139855.1
s__Sutcliffiella_A horikoshii_C	GCF_002157855.1
s__Vibrio casei	GCF_002218025.2
s__Pseudoalteromonas espejiana	GCF_002221525.1
s__Spiroplasma_A corruscae	GCF_002237575.1
s__Paraburkholderia aromaticivorans	GCF_002278075.1
s__Mesoplasma chauliocola	GCF_002290085.1
s__Caulobacter vibrioides_D	GCF_002310375.3
s__Mucilaginibacter gotjawali	GCF_002355435.1
s__Eubacterium maltosivorans	GCF_002441855.2
s__Streptomyces lavendulae_C	GCF_002803845.1
s__Williamsoniiplasma somnilux	GCF_002804005.1
s__Kyrpidia spormannii	GCF_002804065.1
s__Lacinutrix sp002831665	GCF_002831665.1
s__Streptomyces sp002847285	GCF_002847285.1
s__Paraburkholderia caribensis	GCF_002902945.1
s__Pseudomonas_E orientalis_A	GCF_002934065.1
s__Stenotrophomonas acidaminiphila_A	GCF_002951995.1
s__Rhizobium leguminosarum_K	GCF_002953715.1
s__Pseudarthrobacter sp002953935	GCF_002953935.1
s__Lactiplantibacillus sp002970915	GCF_002970915.1
s__Campylobacter_A concisus_F	GCF_003048675.2
s__Mycetocola_A zhujimingii	GCF_003065425.1
s__Kinetoplastibacterium sorsogonicusi	GCF_003072465.1
s__Flavobacterium pallidum	GCF_003097535.1
s__Azoarcus_C communis_B	GCF_003111665.1
s__Methylobacterium sp003173775	GCF_003173775.1
s__Erythrobacter sp003264115	GCF_003264115.1
s__Euzebya sp003344865	GCF_003344865.1
s__Halarcobacter bivalviorum	GCF_003346815.1
s__Brachybacterium saurashtrense	GCF_003355475.1
s__Streptomyces olivoreticuli	GCF_003391135.1
s__Nostoc sphaeroides	GCF_003443655.1
s__Bombilactobacillus bombi	GCF_003522965.1
s__Paraflavitalea soli	GCF_003555545.1
s__Pseudooceanicola algae	GCF_003590145.2
s__Streptomyces fungicidicus_A	GCF_003665435.1
s__Chryseobacterium sp003669035	GCF_003669035.1
s__Niallia circulans_A	GCF_003726095.1
s__Deinococcus sp003860465	GCF_003860465.1
s__Streptomyces tsukubensis	GCF_003932715.1
s__Iodobacter sp003952345	GCF_003952345.1
s__Georhizobium profundi	GCF_003952725.1
s__Undibacterium parvum	GCF_003955735.1
s__Streptomyces cyaneochromogenes	GCF_003963535.1
s__Asticcacaulis excentricus_A	GCF_003966695.1
s__Mycoavidus cysteinexigens	GCF_003966915.1
s__Marinobacter sp003994855	GCF_003994855.1
s__Nautilia profundicola_A	GCF_004006315.1
s__Dyella_B sp004114615	GCF_004114615.1
s__Microbacterium protaetiae	GCF_004135285.1
s__Xanthomonas oryzae	GCF_004136375.1
s__Aliarcobacter thereius	GCF_004214815.1
s__Flavobacterium nackdongense	GCF_004355225.1
s__Pseudomonas_E viciae	GCF_004786035.1
s__Desulfovibrio desulfuricans_C	GCF_004801255.1
s__Campylobacter_A sp004803855	GCF_004803855.2
s__Hydrocarboniclastica marina	GCF_004851605.1
s__Azospirillum sp003116065	GCF_004923315.1
s__Actinomyces oris_E	GCF_005696555.1
s__Pedobacter sp005938645	GCF_005938645.2
s__Streptomyces sp006088715	GCF_006088715.1
s__Glutamicibacter creatinolyticus	GCF_006094275.1
s__Myxococcus xanthus_A	GCF_006402735.1
s__Changchengzhania lutea	GCF_006974145.1
s__Gordonia sp004353055	GCF_007559005.1
s__Shewanella donghaensis	GCF_007567505.1
s__Mycoplasmopsis_A anserisalpingitidis	GCF_007859615.1
s__Comamonas_C sp007954405	GCF_007954405.1
s__Corynebacterium nuruki	GCF_007970465.1
s__SW4 sp002732825	GCF_008065155.1
s__Treponema phagedenis	GCF_008153345.1
s__Microbacterium sp008271365	GCF_008271365.1
s__Chromobacterium paludis	GCF_008275125.1
s__Halomonas sp008329985	GCF_008329985.2
s__Pseudoalteromonas ruthenica	GCF_008808095.1
s__Serinicoccus pratense	GCF_008843165.1
s__Actinosynnema syringae	GCF_009498035.1
s__Wocania sp009498295	GCF_009498295.1
s__Gracilibacillus sp002797295	GCF_009650095.1
s__HY158 sp009660225	GCF_009660225.1
s__Desulfosarcina alkanivorans	GCF_009688945.1
s__Microlunatus_A sp009707365	GCF_009707365.1
s__Pauljensenia odontolytica_A	GCF_009730335.1
s__Mucilaginibacter ginkgonis	GCF_009754905.2
s__Permianibacter aggregans	GCF_009756665.1
s__Roseovarius faecimaris	GCF_009762325.1
s__Epidermidibacterium keratini	GCF_009834025.1
s__Aquitalea denitrificans	GCF_009856625.1
s__Pontibacillus sp009858175	GCF_009858175.1
s__Acinetobacter dispersus	GCF_009884975.1
s__Proteus sp003144505	GCF_009914335.1
s__Athalassotoga saccharophila	GCF_009936215.1
s__Pontibacter pudoricolor	GCF_010092985.1
s__Rhodocytophaga rosea	GCF_010119975.1
s__Mycobacterium psychrotolerans	GCF_010729305.1
s__Mycobacterium conspicuum	GCF_010730195.1
s__Rhizorhabdus sp011044255	GCF_011044255.1
s__Proteus vulgaris_B	GCF_011045815.1
s__Nordella sp011046735	GCF_011046735.1
s__Flavimobilis sp011300875	GCF_011300875.1
s__Streptomyces liangshanensis	GCF_011694815.1
s__IPMB12 sp011745665	GCF_011745665.1
s__Sulfurimicrobium lacus	GCF_011764585.1
s__Xylella fastidiosa	GCF_011801475.1
s__Haloferula lutea	GCF_012913485.1
s__Metamycoplasma sp012934885	GCF_012934885.1
s__Pseudomonas_E sp012975065	GCF_012975065.1
s__Gemmatimonas sp013004105	GCF_013004105.1
s__Spirillospora sp013364275	GCF_013364275.1
s__Lentibacillus sp013373365	GCF_013373365.1
s__Flavobacterium sp013389595	GCF_013389595.1
s__Microbacterium oleivorans_C	GCF_013389665.1
s__Winogradskyella forsetii	GCF_013394595.1
s__Streptacidiphilus sp014084105	GCF_014084105.1
s__Tomitella sp014126825	GCF_014126825.1
s__Teredinibacter haidensis	GCF_014211975.1
s__Teredinibacter purpureus	GCF_014217335.1
s__Leifsonia shinshuensis_A	GCF_014217625.1
s__Rhodococcus triatomae	GCF_014217785.1
s__Blattabacterium cuenoti_AH	GCF_014252375.1
s__Sphingobium sp014280435	GCF_014280435.1
s__Diaphorobacter_A ruginosibacter	GCF_014395975.1
s__Vagococcus carniphilus	GCF_014397115.1
s__Corynebacterium sp014522205	GCF_014522205.1
s__Mesoflavibacter profundi	GCF_014764305.1
s__Marinomonas algicola	GCF_014805825.1
s__Sulfurimonas marisnigri	GCF_015265475.1
s__Bradyrhizobium sp015291665	GCF_015291665.1
s__Bradyrhizobium arachidis	GCF_015291705.1
s__Microbacterium schleiferi	GCF_015565955.1
s__Bradyrhizobium sp015624485	GCF_015624485.1
s__Mycobacterium kubicae	GCF_015689175.1
s__Paenibacillus polymyxa	GCF_015710975.1
s__Salicibibacter cibi	GCF_016495865.1
s__Nitratiruptor sp016593235	GCF_016593235.1
s__Acinetobacter sp002135245	GCF_016599715.1
s__Bradyrhizobium diazoefficiens_H	GCF_016616235.1
s__Bradyrhizobium diazoefficiens_E	GCF_016616425.1
s__Sphingomonas sp016743815	GCF_016743815.1
s__Glaciimonas sp016917355	GCF_016917355.1
s__Pseudomonas sp016919445	GCF_016919445.1
s__Rothia sp016924835	GCF_016924835.1
s__Clostridium_H botulinum_A	GCF_017100085.1
s__Flavobacterium sp017352115	GCF_017352115.1
s__Alkalibacter sp017352215	GCF_017352215.1
s__Neisseria sicca_D	GCF_017753665.1
s__Heyndrickxia oleronia	GCF_017809215.1
s__Psychroflexus sp018080005	GCF_018080005.1
s__Prevotella scopos	GCF_018127785.1
s__Brevibacterium sp018137945	GCF_018137945.1
s__Erwinia sp001422605	GCF_018141005.1
s__Sulfitobacter sp018200035	GCF_018200035.1
s__Chloracidobacterium validum	GCF_018304825.1
s__Actinocatenispora sera	GCF_018324685.1
s__Chryseobacterium sp013153155	GCF_018603435.1
s__Polynucleobacter sp018687275	GCF_018687275.1
s__Gemella sp018866345	GCF_018866345.1
s__Pseudomonas_E fluorescens_T	GCF_019141525.1
s__143-21 sp019203185	GCF_019203185.1
s__Geomonas sp019203205	GCF_019203205.1
s__Morganella morganii	GCF_019243775.1
s__Gullanella endobia	GCF_900048035.1
s__Polynucleobacter necessarius_I	GCF_900095175.1
s__Anaerococcus mediterraneensis	GCF_900128415.1
s__Enterobacter quasihormaechei	GCF_900322725.1
s__Metamycoplasma alkalescens	GCF_900476125.1
s__Roseburia intestinalis	GCF_900537995.1
s__Staphylococcus delphini	GCF_900636325.1
s__Neisseria animalis	GCF_900636515.1
s__Pseudomonas_E mendocina	GCF_900636545.1
s__Actinomyces viscosus	GCF_900637975.1
s__Mycoplasmopsis_A bovirhinis	GCF_900660515.1
s__Methylacidimicrobium sp903064525	GCF_903064525.1
s__Sodalis glossinidius	GCA_000010085.1
s__Miniphocibacter sp016458825	GCA_016458825.1
s__26B sp016894345	GCA_016894345.1
s__Helicobacter_C hepaticus	GCF_000007905.1
s__Geobacter sulfurreducens	GCF_000007985.2
s__Mesoplasma florum	GCF_000008305.1
s__Protochlamydia amoebophila	GCF_000011565.2
s__Geobacter metallireducens	GCF_000012925.1
s__Novosphingobium aromaticivorans	GCF_000013325.1
s__Nitrobacter hamburgensis	GCF_000013885.1
s__Lactobacillus gasseri	GCF_000014425.1
s__Phenylobacterium zucineum	GCF_000017265.1
s__Prochlorococcus_A marinus_A	GCF_000018065.1
s__Desulfobacterium_B autotrophicum	GCF_000020365.1
s__Chloroherpeton thalassium	GCF_000020525.1
s__Amoebophilus asiaticus	GCF_000020565.1
s__Gluconacetobacter diazotrophicus	GCF_000021325.1
s__Chloroflexus aggregans	GCF_000021945.1
s__Micrococcus luteus	GCF_000023205.1
s__Methylotenera mobilis	GCF_000023705.1
s__Chitinophaga pinensis	GCF_000024005.1
s__Pirellula staleyi	GCF_000025185.1
s__Conexibacter woesei	GCF_000025265.1
s__Saccharopolyspora_D erythraea	GCF_000062885.1
s__Segniliparus rotundus	GCF_000092825.1
s__Prevotella melaninogenica	GCF_000144405.1
s__Caldicellulosiruptor kronotskyensis	GCF_000166775.1
s__Spirochaeta_A thermophila	GCF_000184345.1
s__Nitratifractor salsuginis	GCF_000186245.1
s__Isosphaera pallida	GCF_000186345.1
s__Coriobacterium glomerans	GCF_000195315.1
s__Deinococcus geothermalis	GCF_000196275.1
s__Acinetobacter oleivorans	GCF_000196795.1
s__Burkholderia ambifaria	GCF_000203915.1
s__Mycoplasma putrefaciens	GCF_000224105.1
s__Chloracidobacterium thermophilum	GCF_000226295.1
s__Paenibacillus polymyxa_C	GCF_000237325.1
s__Wigglesworthia glossinidia_B	GCF_000247565.1
s__Saprospira grandis_B	GCF_000250635.1
s__Sphingobium sp000283515	GCF_000283515.1
s__Selenomonas_A lactilytica	GCF_000284095.1
s__Rubrivivax gelatinosus_A	GCF_000284255.1
s__GCF-000287355 sp000287355	GCF_000287355.1
s__Thermacetogenium phaeum	GCF_000305935.1
s__Modestobacter marinus_A	GCF_000306785.1
s__Calothrix sp000317435	GCF_000317435.1
s__PCC-10605 sp000317675	GCF_000317675.1
s__Pseudomonas_A stutzeri_AE	GCF_000327065.1
s__Bradyrhizobium oligotrophicum	GCF_000344805.1
s__Pseudomonas_E putida	GCF_000412675.1
s__Corynebacterium maris	GCF_000442645.1
s__Paracoccus aminophilus	GCF_000444995.1
s__Synechocystis sp000478825	GCF_000478825.2
s__Pseudothermotoga_B elfii	GCF_000504085.1
s__Sphingomonas_D sanxanigenens	GCF_000512205.2
s__Dehalobacter restrictus	GCF_000512895.1
s__Sodalis_A praecaptivus	GCF_000517425.1
s__Advenella mimigardefordensis	GCF_000521505.1
s__Liberibacter asiaticus	GCF_000590865.3
s__Ehrlichia sp000632845	GCF_000632845.1
s__Brevundimonas naejangsanensis_A	GCF_000635915.2
s__Acetobacter pasteurianus	GCF_000723785.2
s__Actinotignum schaalii	GCF_000724605.1
s__Synechococcus_E sp000737595	GCF_000737595.1
s__Corynebacterium humireducens	GCF_000819445.1
s__Lacticaseibacillus casei	GCF_000829055.1
s__Priestia megaterium	GCF_000832985.1
s__Pandoraea vervacti	GCF_000934605.2
s__Rhodococcus_B sp000954115	GCF_000954115.1
s__Zobellia galactanivorans	GCF_000973105.1
s__Hoeflea sp001011155	GCF_001011155.1
s__Yersinia aleksiciae	GCF_001047675.1
s__Chondromyces crocatus	GCF_001189295.1
s__Spiroplasma_A litorale	GCF_001267155.1
s__Cronobacter malonaticus	GCF_001277215.2
s__Parageobacillus thermoglucosidasius	GCF_001295365.1
s__Psychrobacter urativorans_A	GCF_001298525.1
s__Sphingopyxis macrogoltabida_B	GCF_001307295.1
s__Microbacterium sp001314225	GCF_001314225.1
s__Azospirillum brasilense	GCF_001315015.1
s__Limnohabitans_A sp001412535	GCF_001412535.1
s__Limnohabitans_A sp001412575	GCF_001412575.1
s__Corynebacterium diphtheriae	GCF_001457455.1
s__Pseudomonas aeruginosa	GCF_001457615.1
s__Pseudarthrobacter sulfonivorans_A	GCF_001484605.1
s__Hymenobacter sedentarius	GCF_001507645.1
s__Hafnia proteus	GCF_001586165.1
s__Zhongshania aliphaticivorans	GCF_001586255.1
s__Pedobacter cryoconitis_A	GCF_001590605.1
s__Serratia surfactantfaciens	GCF_001642805.2
s__Francisella persica	GCF_001653955.1
s__Paenibacillus_A yonginensis	GCF_001685395.1
s__Pseudonocardia sp001698125	GCF_001698125.1
s__Acidovorax sp001714725	GCF_001714725.1
s__Paenibacillus polymyxa_B	GCF_001719045.1
s__LPB0142 sp001856665	GCF_001856665.1
s__Clostridium_F botulinum_A	GCF_001889325.1
s__Corynebacterium stationis	GCF_001941345.1
s__Actinoalloteichus fjordicus	GCF_001941625.1
s__Halomonas_B sp001971685	GCF_001971685.1
s__Spirosoma rigui	GCF_002067135.1
s__Cognaticolwellia beringensis	GCF_002076895.1
s__Halomonas sp002082565	GCF_002082565.1
s__Campylobacter lanienae	GCF_002139935.1
s__Kushneria marisflavi	GCF_002157205.1
s__Oceanisphaera avium	GCF_002157875.1
s__Oceanisphaera profunda	GCF_002157895.1
s__Cellvibrio sp002162135	GCF_002162135.1
s__Tumebacillus_A avium	GCF_002162355.1
s__Vibrio campbellii	GCF_002163755.1
s__Acinetobacter chinensis	GCF_002165375.2
s__Enterococcus wangshanyuanii	GCF_002197645.1
s__Anaplasma ovis	GCF_002214625.1
s__Granulosicoccus antarcticus	GCF_002215215.1
s__Nocardiopsis_C gilva	GCF_002263495.1
s__Clostridium isatidis	GCF_002285495.1
s__Planktophila dulcis	GCF_002288225.1
s__Sulfurospirillum sp002309535	GCF_002309535.1
s__Neisseria sp002327085	GCF_002327085.1
s__Sulfurifustis variabilis	GCF_002355415.1
s__Pseudomonas_F furukawaii	GCF_002355475.1
s__Mycobacterium shigaense	GCF_002356315.1
s__Mycobacterium stephanolepidis	GCF_002356335.1
s__Alcaligenes faecalis	GCF_002443155.1
s__Fonsibacter ubiquis	GCF_002688585.1
s__Chryseobacterium camelliae	GCF_002770595.1
s__Mesoplasma entomophilum	GCF_002804125.1
s__Sagittula sp002814095	GCF_002814095.1
s__Mixta gaviniae	GCF_002953195.1
s__Pukyongia salina	GCF_002966125.1
s__Gordonia iterans	GCF_002993285.1
s__Capnocytophaga sp002999135	GCF_002999135.1
s__Staphylococcus kloosii	GCF_003019255.1
s__Dietzia sp003052165	GCF_003052165.1
s__Acidiferrobacter sp003184265	GCF_003184265.1
s__Cardinium sp003351905	GCF_003351905.1
s__Pseudomonas_E kribbensis	GCF_003352185.1
s__Kordia sp003352465	GCF_003352465.1
s__Bacillus pumilus_N	GCF_003431975.1
s__Azonexus sp003441615	GCF_003441615.1
s__Suicoccus acidiformans	GCF_003546865.1
s__Indioceanicola profundi	GCF_003568845.1
s__Croceibacterium sp003569745	GCF_003569745.1
s__Lactobacillus paragasseri	GCF_003584685.1
s__K2R23-3 sp003595195	GCF_003595195.1
s__DB6-IX sp003612895	GCF_003612895.1
s__Mycobacterium paragordonae	GCF_003614435.1
s__Flavobacterium sp003668995	GCF_003668995.1
s__Buchnera aphidicola_AL	GCF_003671935.1
s__Streptomyces sp003675325	GCF_003675325.1
s__Commensalibacter sp003202795	GCF_003691365.1
s__Nocardioides sp003710085	GCF_003710085.1
s__Gordonia insulae	GCF_003855095.1
s__Kaistella carnis	GCF_003860585.1
s__Sphingobium amiense	GCF_003967075.1
s__Sulfuriflexus mobilis	GCF_003967195.1
s__Leucobacter muris	GCF_004028235.1
s__JN-9 sp004103695	GCF_004103695.1
s__Corynebacterium pelargi	GCF_004114895.1
s__Bradyrhizobium zhanjiangense	GCF_004114935.1
s__Rhodoglobus sp004118935	GCF_004118935.1
s__Pseudolysobacter antarcticus	GCF_004168365.1
s__Paenisporosarcina antarctica	GCF_004367585.1
s__Legionella_B geestiana	GCF_004571195.1
s__Pseudomonas_E putida_A	GCF_004683905.1
s__Sphingopyxis sp004795895	GCF_004795895.1
s__Buchnera aphidicola_S	GCF_005080965.1
s__Phreatobacter stygius	GCF_005144885.1
s__Agrobacterium sp900013535	GCF_005221385.1
s__Luteithermobacter gelatinilyticus	GCF_005849285.1
s__Rhizobium indicum	GCF_005862305.2
s__Thiomicrorhabdus sediminis	GCF_005885815.1
s__Echinicola sp006575665	GCF_006575665.1
s__Bdellovibrio sp006874625	GCF_006874625.1
s__Ferrovibrio terrae	GCF_007197755.1
s__Corynebacterium sanguinis	GCF_007641235.1
s__Pirellulimonas nuda	GCF_007750855.1
s__Devosia ginsengisoli	GCF_007859655.1
s__Pseudobacter ginsenosidimutans	GCF_007970185.1
s__Mucilaginibacter ginsenosidivorans	GCF_007971025.1
s__Methylobacterium sp008000895	GCF_008000895.1
s__Flavobacterium alkalisoli	GCF_008000935.1
s__Chitinolyticbacter meiyuanensis	GCF_008033135.1
s__Aquisphaera giovannonii	GCF_008087625.1
s__Ruminococcus_B gnavus	GCF_008121495.1
s__Marinobacter_A fonticola	GCF_008122265.1
s__Sphaerotilus sulfidivorans	GCF_008329925.1
s__Psychrobacillus glaciei	GCF_008973485.1
s__Paenibacillus_K guangzhouensis	GCF_009363075.1
s__Pantoea eucalypti	GCF_009646115.1
s__Thermochromatium tepidum	GCF_009664085.1
s__Otariodibacter oris	GCF_009684715.1
s__Flavobacterium sp009792295	GCF_009792295.1
s__Cobetia sp009796845	GCF_009796845.1
s__Paraglaciecola mesophila_A	GCF_009906955.1
s__Chitinophaga agri	GCF_010093065.1
s__Pseudomonas_E sp001655595	GCF_010448615.1
s__Mycobacterium anyangense	GCF_010731855.1
s__Corynebacterium qintianiae	GCF_011038645.2
s__Pauljensenia sp011038875	GCF_011038885.2
s__Roseovarius aestuariivivens_A	GCF_011040495.1
s__Soonwooa sp011058315	GCF_011058315.1
s__Leucobacter insecticola	GCF_011382965.1
s__Bradyrhizobium sp011602485	GCF_011602485.1
s__Spirosoma aureum	GCF_011604685.1
s__Phytohabitans suffuscus	GCF_011764565.1
s__Aulosira sp011769525	GCF_011769525.1
s__Clostridium_AQ innocuum	GCF_012317185.1
s__Chitinophaga sp012516355	GCF_012516355.1
s__Pseudomonas_E sp012935695	GCF_012935695.1
s__Desulfovibrio_R marinus	GCF_013085545.1
s__Nocardioides sp013177455	GCF_013177455.1
s__Aliarcobacter acticola	GCF_013177675.1
s__Pseudomonas_E sp900585815	GCF_013201545.1
s__Providencia rettgeri_D	GCF_013255915.1
s__Campylobacter lawsonii	GCF_013372165.1
s__Bartonella alsatica	GCF_013388295.1
s__Trichormus sp013393945	GCF_013393945.1
s__Marinisubtilis indicus	GCF_013414345.1
s__Planobacterium sp014041915	GCF_014041915.1
s__SCUT-3 sp014083985	GCF_014083985.1
s__Lactiplantibacillus plantarum	GCF_014131735.1
s__Mycobacterium litorale_B	GCF_014218295.1
s__Hymenobacter sp014250515	GCF_014250515.1
s__Anaerostipes caccae	GCF_014467075.1
s__Hymenobacter qilianensis	GCF_014489555.1
s__Streptomyces sp014489635	GCF_014489635.1
s__Entomobacter blattae	GCF_014672835.1
s__Pedobacter sp011759615	GCF_014692875.1
s__Saccharopolyspora pogona	GCF_014697215.1
s__Polaribacter haliotis	GCF_014784055.1
s__Pseudooceanicola antarcticus_A	GCF_014899185.1
s__Devosia sp014926585	GCF_014926585.1
s__Sulfurovum indicum	GCF_014931715.1
s__Haloactinobacterium sp014960965	GCF_014960965.1
s__Pelethocola sp015159595	GCF_015159595.1
s__Microbacterium sp015277815	GCF_015277815.1
s__Bradyrhizobium japonicum_D	GCF_015291725.1
s__Actinomyces sp015711475	GCF_015711475.1
s__Qipengyuania sp002895025	GCF_015767595.1
s__Achromobacter insuavis_A	GCF_016127315.1
s__Hydrogenimonas urashimensis	GCF_016593255.1
s__Lysinibacillus sp001278875	GCF_016638705.1
s__Pseudoalteromonas sp002591815	GCF_016695175.1
s__Archangium violaceum_A	GCF_016859125.1
s__Actinocatenispora thailandica	GCF_016865425.1
s__Alicyclobacillus_B ferrooxydans_B	GCF_017298635.1
s__Marinobacter sp017301335	GCF_017301335.1
s__UBA7405 sp000755535	GCF_017348915.1
s__Thiothrix sp017901135	GCF_017901135.1
s__Thiothrix unzii	GCF_017901175.1
s__Virgibacillus pantothenticus	GCF_018075365.1
s__UBA7748 sp003862175	GCF_018128285.1
s__Miltoncostaea marina	GCF_018141525.1
s__Tardiphaga sp018279705	GCF_018279705.1
s__Treponema sp018336815	GCF_018336815.1
s__Cellulomonas sp018388445	GCF_018388445.1
s__Arthrobacter_B sp018622995	GCF_018622995.1
s__Polynucleobacter sp018687515	GCF_018687515.1
s__Polynucleobacter sp018687555	GCF_018687555.1
s__Polynucleobacter sp018687975	GCF_018687975.1
s__Methylomonas paludis	GCF_018734325.1
s__Pseudomonas_E sp019139835	GCF_019139835.1
